,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,A,1999-11-18,0.0182252787626,0.019644709873,0.0163320751602,0.0176135628146,62546400,0.0161679651348,0.0,28.484692,0.0,1410.709961,1425.310059,1410.709961,1424.939941,1022800000.0,1424.939941
1,A,1999-11-19,0.0171988581426,0.0168944518344,0.0162555181438,0.0161624456591,15234100,0.0148359453896,-2.34675,27.311317,1.173375,1424.939941,1424.939941,1417.540039,1422.0,893800000.0,1422.0
2,A,1999-11-22,0.0165479524256,0.0172873416865,0.0163575948461,0.0176135628146,6577900,0.0161679651348,2.34675,27.702442,0.78225,1422.0,1425.0,1412.400024,1420.939941,873500000.0,1420.939941
3,A,1999-11-23,0.0170236134483,0.0171400063713,0.0163320751602,0.0160123304501,5975600,0.0146981503805,-2.589517,27.250625,1.35545,1420.939941,1423.910034,1402.199951,1404.640015,926100000.0,1404.640015
4,A,1999-11-24,0.01607229661,0.0164769990244,0.0163320751602,0.0164376608118,4843200,0.0150885725054,0.687845,27.117104,0.534084,1404.640015,1419.709961,1399.170044,1417.079956,734800000.0,1417.079956
5,A,1999-11-26,0.0163727129386,0.0163051062518,0.0166383011841,0.016487696546,1729500,0.0151345022831,0.080919,27.041577,0.377638,1417.079956,1425.23999,1416.140015,1416.619995,312120000.0,1416.619995
6,A,1999-11-29,0.0164227807912,0.0166734484687,0.0165617441678,0.0168629855691,4074800,0.0154789900895,0.606918,27.074331,0.196526,1416.619995,1416.619995,1404.150024,1407.829956,866100000.0,1407.829956
7,A,1999-11-30,0.0168233372312,0.0168698939841,0.0167148569756,0.0168880068389,4310000,0.0155019575326,0.040464,27.103955,0.207366,1407.829956,1410.589966,1386.949951,1388.910034,951500000.0,1388.910034
8,A,1999-12-01,0.016898441814,0.0170663394995,0.0170976453238,0.017188237657,2957300,0.0157775475507,0.485534,27.180944,0.615911,1388.910034,1400.119995,1387.380005,1397.719971,884000000.0,1397.719971
9,A,1999-12-02,0.0175243112013,0.0176802366462,0.0176335403552,0.0176636049538,3069900,0.0162139000209,0.768765,27.319412,1.246208,1397.719971,1409.040039,1397.719971,1409.040039,900700000.0,1409.040039
10,A,1999-12-03,0.0179999670169,0.017950354141,0.0180928795953,0.0178137205631,3041600,0.0163516950299,0.242767,27.454773,1.456606,1409.040039,1447.420044,1409.040039,1433.300049,1006400000.0,1433.300049
11,A,1999-12-06,0.0181251426568,0.0182450243785,0.0184501417247,0.0183141027247,2250800,0.0168110092671,0.809219,27.635009,1.917859,1433.300049,1434.150024,1418.25,1423.329956,916800000.0,1423.329956
12,A,1999-12-07,0.018325418874,0.0180731316058,0.0180928795953,0.0181139501803,2216000,0.0166272844804,-0.323686,27.762618,1.51325,1423.329956,1426.810059,1409.170044,1409.170044,1085800000.0,1409.170044
13,A,1999-12-08,0.0181251426568,0.0179257974693,0.0182970297335,0.0180889301115,1887900,0.016604317605,-0.040463,27.869107,1.136959,1409.170044,1415.660034,1403.880005,1403.880005,957000000.0,1403.880005
14,A,1999-12-09,0.0181251426568,0.0180485749342,0.0184756614106,0.018339124795,2029100,0.016833978413,0.404616,27.988371,1.23407,1403.880005,1418.430054,1391.469971,1408.109985,1122100000.0,1408.109985
15,A,1999-12-10,0.018300387351,0.0180485749342,0.018271508006,0.0179137936328,1664700,0.0164435551529,-0.687847,28.049737,0.315594,1408.109985,1421.579956,1405.650024,1417.040039,987200000.0,1417.040039
16,A,1999-12-13,0.0182252787626,0.0181713586854,0.0181183947899,0.0182140244509,4020500,0.016719145171,0.485534,28.132444,0.582638,1417.040039,1421.579956,1410.099976,1415.219971,977600000.0,1415.219971
17,A,1999-12-14,0.0181752117111,0.0178275727472,0.0171742015235,0.0172132589268,2328900,0.0158005149937,-1.618441,28.116048,1.088403,1415.219971,1418.300049,1401.589966,1403.170044,1027800000.0,1403.170044
18,A,1999-12-15,0.0168233372312,0.0166243339467,0.0167403778864,0.0166878490904,2917800,0.0153182276374,-0.849693,28.056657,1.857173,1403.170044,1417.400024,1396.199951,1413.329956,1033900000.0,1413.329956
19,A,1999-12-16,0.0168233372312,0.0185642473587,0.0171486806127,0.018914564361,2583900,0.0173621893033,3.601048,28.183258,1.54157,1413.319946,1423.109985,1408.349976,1418.780029,1070300000.0,1418.780029
20,A,1999-12-17,0.018575768151,0.0185151379444,0.018552218427,0.0183891609296,3708100,0.0168799076231,-0.849683,28.257341,0.598827,1418.780029,1431.77002,1418.780029,1421.030029,1349800000.0,1421.030029
21,A,1999-12-20,0.0185257015001,0.0184414698939,0.018832924765,0.0187644499527,1196800,0.0172243954295,0.606918,28.352276,1.132915,1421.030029,1429.160034,1411.099976,1418.089966,904600000.0,1418.089966
22,A,1999-12-21,0.0187009397854,0.0183432451717,0.0187818874346,0.018664375682,2259400,0.0171325347389,-0.16184,28.431919,0.88206,1418.089966,1436.469971,1414.800049,1433.430054,963500000.0,1433.430054
23,A,1999-12-22,0.0186759082624,0.0186870311099,0.0189094817813,0.0190396651054,1905800,0.0174770225454,0.606918,28.530213,1.335225,1433.430054,1440.02002,1429.130005,1436.130005,850000000.0,1436.130005
24,A,1999-12-23,0.0190263936452,0.019644709873,0.0193688197964,0.0199153370907,2159500,0.0182808257242,1.416139,28.67729,2.496459,1436.130005,1461.439941,1436.130005,1458.339966,728600000.0,1458.339966
25,A,1999-12-27,0.020002745211,0.0208970584806,0.0202364625793,0.0211412804321,2029600,0.019406152672,1.982599,28.889307,3.957108,1458.339966,1463.189941,1450.829956,1457.099976,722600000.0,1457.099976
26,A,1999-12-28,0.0217301450084,0.0241629940513,0.0220227834339,0.0246189623154,3560000,0.0225984104316,5.624114,29.293919,8.545414,1457.089966,1462.680054,1452.780029,1457.660034,655400000.0,1457.660034
