,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,AA,1962-01-02,0.0107775531023,0.0107016012011,0.0108523658908,0.0107466810908,134400,0.000447861561613,0.0,0.649253,0.0,71.550003,71.959999,70.709999,70.959999,3120000.0,70.959999
1,AA,1962-01-03,0.0107467400998,0.0108033213901,0.0108316093732,0.0109110402016,179200,0.000454711380261,0.00993,0.654218,0.004965,70.959999,71.480003,70.379997,71.129997,3590000.0,71.129997
2,AA,1962-01-04,0.0109111001131,0.0108847282058,0.0110183413388,0.0109110402016,193600,0.000454711380261,0.0,0.655873,0.00331,71.129997,71.620003,70.449997,70.639999,4450000.0,70.639999
3,AA,1962-01-05,0.0109111001131,0.010864376746,0.010976867148,0.0108905252719,169600,0.000453856015193,-0.00124,0.65639,0.001553,70.639999,70.839996,69.349998,69.660004,4630000.0,69.660004
4,AA,1962-01-08,0.0108494750946,0.0107423050972,0.0105410928277,0.0105206588337,225600,0.000438442198709,-0.022345,0.652232,0.016634,69.660004,69.839996,68.169998,69.120003,4620000.0,69.120003
5,AA,1962-01-09,0.0105207166017,0.0105795295522,0.0105826068589,0.0104795490832,155200,0.000436728709331,-0.002484,0.649046,0.015932,69.120003,69.93,68.830002,69.150002,3600000.0,69.150002
6,AA,1962-01-10,0.0104796066255,0.0104167940468,0.0105410928277,0.0105001034653,83200,0.00043758545402,0.001242,0.646947,0.012591,69.150002,69.580002,68.620003,68.959999,3300000.0,68.959999
7,AA,1962-01-11,0.0104590521305,0.0103557386909,0.0104996196329,0.0104384393327,67200,0.000435015909763,-0.003725,0.644908,0.014277,68.959999,69.540001,68.57,69.370003,3390000.0,69.370003
8,AA,1962-01-12,0.0104384966492,0.0103557386909,0.0102920903134,0.0101918617072,64000,0.00042473980217,-0.014897,0.641666,0.025932,69.370003,70.169998,69.230003,69.610001,3730000.0,69.610001
9,AA,1962-01-15,0.0101097381563,0.0100098752042,0.0100846018302,0.00998639383223,155200,0.000416177183954,-0.012413,0.637831,0.03451,69.610001,69.959999,69.059998,69.470001,3450000.0,69.470001
10,AA,1962-01-16,0.0099453386904,0.00984709965926,0.00996010057307,0.00986310501949,67200,0.000411038785252,-0.007449,0.634017,0.036621,69.470001,69.610001,68.68,69.07,3650000.0,69.07
11,AA,1962-01-17,0.00986315917691,0.00980643580265,0.00996010057307,0.00986310501949,192000,0.000411038785252,0.0,0.630838,0.03029,69.07,69.309998,68.129997,68.32,3780000.0,68.32
12,AA,1962-01-18,0.00986315917691,0.00976573190654,0.00996010057307,0.00986310501949,216000,0.000411038785252,0.0,0.628148,0.023959,68.32,68.730003,67.75,68.389999,3460000.0,68.389999
13,AA,1962-01-19,0.00986315917691,0.0098674520956,0.00996010057307,0.00990421476998,241600,0.00041275227463,0.002484,0.62602,0.015516,68.389999,70.080002,68.139999,68.75,3800000.0,68.75
14,AA,1962-01-22,0.0099453386904,0.00998952374443,0.010043087799,0.00994528408174,168000,0.000414463694577,0.002481,0.624341,0.009559,68.75,69.370003,68.449997,68.809998,3810000.0,68.809998
15,AA,1962-01-23,0.0099453386904,0.00994885891125,0.00998085709066,0.00988365940158,83200,0.000411895529941,-0.003723,0.622639,0.009682,68.809998,68.959999,68.0,68.290001,3350000.0,68.290001
16,AA,1962-01-24,0.00988371367186,0.00978608336631,0.00971109805874,0.00982199526899,110400,0.000409325985685,-0.003725,0.620918,0.00931,68.290001,68.68,67.550003,68.400002,3760000.0,68.400002
17,AA,1962-01-25,0.00982204920069,0.00974538044677,0.00981484279831,0.00971926182465,91200,0.000405044331672,-0.006207,0.619044,0.011172,68.400002,69.050003,68.099998,68.349998,3560000.0,68.349998
18,AA,1962-01-26,0.00971931519225,0.00966401171748,0.00981484279831,0.00976037058883,91200,0.00040675782105,0.002484,0.617498,0.006081,68.349998,68.669998,67.830002,68.129997,3330000.0,68.129997
19,AA,1962-01-29,0.00976042418215,0.00972502801043,0.00981484279831,0.00973981620674,102400,0.000405901076361,-0.001242,0.616044,0.005833,68.129997,68.5,67.550003,67.900002,3050000.0,67.900002
20,AA,1962-01-30,0.00976042418215,0.00974538044677,0.00985635583349,0.00984255063739,73600,0.000410182730374,0.006207,0.615024,0.000498,67.900002,68.650002,67.620003,68.169998,3520000.0,68.169998
21,AA,1962-01-31,0.00984260468196,0.00976573190654,0.00989786986469,0.00982199526899,134400,0.000409325985685,-0.001242,0.614041,0.000496,68.169998,69.089996,68.120003,68.839996,3840000.0,68.839996
22,AA,1962-02-01,0.00980153415837,0.00970471561359,0.00975261208993,0.00976037058883,163200,0.00040675782105,-0.003723,0.612981,0.003598,68.839996,69.650002,68.559998,69.260002,4260000.0,69.260002
23,AA,1962-02-02,0.00976042418215,0.00972502801043,0.00979408528471,0.00971926182465,73600,0.000405044331672,-0.002484,0.611906,0.004965,69.260002,70.019997,69.019997,69.809998,3950000.0,69.809998
24,AA,1962-02-05,0.00978097966342,0.00974538044677,0.0098771133471,0.00978092595723,174400,0.000407614565739,0.003726,0.611066,0.000246,69.809998,70.300003,69.419998,69.879997,3890000.0,69.879997
25,AA,1962-02-06,0.00971931519225,0.00962330879794,0.00966958402755,0.00965763714449,97600,0.0004045159368,-0.004492,0.610118,0.003668,69.879997,70.32,69.410004,69.959999,3650000.0,69.959999
26,AA,1962-02-07,0.00967820521603,0.00968436415382,0.00977332876712,0.00971926182465,110400,0.000407097207835,0.003742,0.609379,0.000397,69.959999,70.669998,69.779999,70.419998,4140000.0,70.419998
27,AA,1962-02-08,0.00971931519225,0.00966401171748,0.00971109805874,0.00967815207416,124800,0.00040537475092,-0.002497,0.608603,0.002148,70.419998,70.949997,70.160004,70.580002,3810000.0,70.580002
28,AA,1962-02-09,0.00967820521603,0.00964366025771,0.00966958402755,0.00957541764351,81600,0.00040107171278,-0.006238,0.607666,0.007562,70.580002,70.830002,69.93,70.480003,3370000.0,70.480003
29,AA,1962-02-12,0.00957547022127,0.00950123714911,0.00964886735036,0.00955490271384,40000,0.00040021289866,-0.001245,0.60675,0.007982,70.480003,70.809998,70.139999,70.459999,2620000.0,70.459999
30,AA,1962-02-13,0.00965769017371,0.00962330879794,0.00975261208993,0.00967815207416,150400,0.00040537475092,0.007483,0.606134,0.000198,70.459999,70.889999,70.07,70.449997,3400000.0,70.449997
31,AA,1962-02-14,0.00961658019749,0.00952158860887,0.00956584028399,0.00953434833175,136000,0.000399352015108,-0.008731,0.605284,0.007087,70.449997,70.790001,70.029999,70.419998,3630000.0,70.419998
32,AA,1962-02-15,0.009534400684,0.0096029563616,0.00954508277039,0.00945212883076,150400,0.000395907791088,-0.004993,0.604334,0.010507,70.419998,71.059998,70.230003,70.739998,3470000.0,70.739998
33,AA,1962-02-16,0.00945218073156,0.00950123714911,0.00954508277039,0.00959597301191,134400,0.000401933286143,0.008735,0.603697,0.001321,70.739998,71.129997,70.269997,70.589996,3700000.0,70.589996
34,AA,1962-02-19,0.00961658019749,0.0096029563616,0.00971109805874,0.00967815207416,72000,0.00040537475092,0.004989,0.603239,0.003993,70.589996,70.959999,70.120003,70.410004,3350000.0,70.410004
35,AA,1962-02-20,0.00967820521603,0.00974538044677,0.00973185457633,0.00984255063739,97600,0.000412261129527,0.009983,0.603084,0.012853,70.410004,70.910004,70.129997,70.660004,3300000.0,70.660004
