,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,AAP,2001-11-29,0.00868544061102,0.00928615919024,0.00876287641949,0.0090033512121,371100,0.00304486045356,0.0,13.29391,0.0,1128.52002,1140.400024,1125.51001,1140.199951,1375700000.0,1140.199951
1,AAP,2001-11-30,0.00900551934731,0.00915777935282,0.00910394668691,0.0092541674091,165300,0.00312968423453,0.370342,13.479081,0.185171,1140.199951,1143.569946,1135.890015,1139.449951,1343600000.0,1139.449951
2,AAP,2001-12-03,0.00923476409869,0.00913637797032,0.00904054045303,0.00894064559526,127500,0.00302365370667,-0.462931,13.386494,0.185173,1139.449951,1139.449951,1125.780029,1129.900024,1202900000.0,1129.900024
3,AAP,2001-12-04,0.00894279863007,0.00884752306866,0.00867979306741,0.00858388434398,95400,0.00290300000808,-0.526776,13.208507,0.533962,1129.900024,1144.800049,1128.859985,1144.800049,1318500000.0,1144.800049
4,AAP,2001-12-05,0.00871571399221,0.00948942332561,0.00881097385541,0.00951362976383,598200,0.00321743242061,1.372817,13.376278,0.671084,1143.77002,1173.619995,1143.77002,1170.349976,1765300000.0,1170.349976
5,AAP,2001-12-06,0.00955917041523,0.00945732809879,0.00955652018686,0.0094530841729,157200,0.00319695631691,-0.089399,13.473225,0.484738,1170.349976,1173.349976,1164.430054,1167.099976,1487900000.0,1167.099976
6,AAP,2001-12-07,0.00946184873654,0.00941453924163,0.00948874585138,0.00951362976383,215100,0.00321743242061,0.089399,13.555245,0.492117,1167.099976,1167.099976,1152.660034,1158.310059,1248200000.0,1158.310059
7,AAP,2001-12-10,0.00949428958446,0.00939741997575,0.00956745432418,0.00948119672624,119100,0.00320646384009,-0.047889,13.610773,0.3887,1158.310059,1158.310059,1139.660034,1139.930054,1218700000.0,1139.930054
8,AAP,2001-12-11,0.0094726646594,0.00944235277977,0.00956745432418,0.00946173724964,378600,0.0031998827834,-0.028733,13.650769,0.319971,1139.930054,1150.890015,1134.319946,1136.76001,1367200000.0,1136.76001
9,AAP,2001-12-12,0.00946184873654,0.00936104327422,0.00920670693855,0.00914605584234,114600,0.00309312184138,-0.46612,13.636154,0.131534,1136.76001,1141.579956,1126.01001,1137.069946,1449700000.0,1137.069946
