,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,AAPL,1980-12-12,0.00178890192052,0.0017792696933,0.00180921529025,0.00178992057065,117258400,0.000138862986847,0.0,0.433984,0.0,127.360001,129.979996,127.150002,129.229996,39530000.0,129.229996
1,AAPL,1980-12-15,0.00170334580393,0.00168684016046,0.00171482144902,0.00169653341044,43971200,0.000131618167342,-0.022642,0.422663,0.011321,129.229996,131.330002,128.639999,129.449997,39700000.0,129.449997
2,AAPL,1980-12-16,0.00157890039072,0.00156360063957,0.00158896299405,0.00157201719683,26432000,0.000121957874714,-0.030191,0.408826,0.027675,129.449997,131.220001,128.330002,130.600006,41630000.0,130.600006
3,AAPL,1980-12-17,0.00161001172847,0.00160211290897,0.00162829376123,0.00161092851359,21610400,0.000124976816151,0.009435,0.404266,0.01368,130.600006,133.589996,130.220001,132.889999,50800000.0,132.889999
4,AAPL,1980-12-18,0.00165667873509,0.00164832776782,0.00167549068184,0.00165762209369,18362400,0.000128599225904,0.011321,0.403794,0.001887,132.889999,135.899994,131.889999,133.0,69570000.0,133.0
5,AAPL,1980-12-19,0.00175779052055,0.00174845976686,0.00177775061358,0.00175879145499,12157600,0.00013644815367,0.02453,0.407568,0.018869,133.0,134.0,131.800003,133.699997,50770000.0,133.699997
6,AAPL,1980-12-22,0.00184334676158,0.00183318695673,0.0018642783643,0.00184439641411,9340800,0.000143089184887,0.020755,0.413229,0.033963,133.699997,136.679993,132.880005,135.779999,51950000.0,135.779999
7,AAPL,1980-12-23,0.00192112504373,0.00191021155716,0.00194293983573,0.00192221898535,11737600,0.00014912674779,0.018869,0.419833,0.046228,135.779999,137.479996,134.009995,135.300003,55260000.0,135.300003
8,AAPL,1980-12-24,0.00202223695363,0.00201034361782,0.00204519989333,0.00202338847117,12000800,0.000156975675556,0.02453,0.427695,0.062896,135.300003,136.550003,134.149994,135.880005,29490000.0,135.880005
9,AAPL,1980-12-26,0.00220890504234,0.00219520292998,0.00223398763872,0.00221016285384,13893600,0.000171465634539,0.045285,0.438513,0.097363,135.880005,137.020004,135.199997,136.570007,16130000.0,136.570007
10,AAPL,1980-12-29,0.00224001631787,0.00222601267156,0.00226545218954,0.00224129184499,23290400,0.000173880787689,0.007548,0.44805,0.093967,136.570007,137.509995,134.360001,135.029999,36060000.0,135.029999
11,AAPL,1980-12-30,0.00219334924902,0.00217209540813,0.00221038911548,0.00218681600153,17220000,0.000169654589649,-0.013208,0.454897,0.068872,135.029999,136.509995,134.039993,135.330002,39750000.0,135.330002
12,AAPL,1980-12-31,0.00213112663575,0.00211047574011,0.002147459888,0.00212455789473,8937600,0.000164824283348,-0.015096,0.45953,0.040379,135.330002,136.759995,134.289993,135.759995,41210000.0,135.759995
13,AAPL,1981-01-02,0.0021466822424,0.00214128566655,0.00217105828538,0.00214790462252,5415200,0.000166635648211,0.005661,0.463905,0.03302,135.759995,137.100006,134.610001,136.339996,28870000.0,136.339996
14,AAPL,1981-01-05,0.00210779319466,0.00208736840311,0.00212386149062,0.00210121116694,8932000,0.000163013238458,-0.011321,0.466942,0.010944,136.339996,139.240005,135.860001,137.970001,58710000.0,137.970001
15,AAPL,1981-01-06,0.00201445911919,0.00199493874704,0.00202946758646,0.00200782394447,11289600,0.00015576809898,-0.022643,0.468184,0.017737,137.970001,140.320007,135.779999,138.119995,67400000.0,138.119995
16,AAPL,1981-01-07,0.00192890287816,0.00191021155716,0.00194293983573,0.00192221898535,13921600,0.00014912674779,-0.020756,0.468059,0.04038,136.020004,136.020004,132.300003,135.080002,92890000.0,135.080002
